Product_Name,Price,Old_Price,Discount,Rating
Hori Tactical Assault Commander (TAC) Mechanical Keypad For PS5,"EGP 10,299.00","EGP 10,299.00",0%,N/A
Funny Quotes Mouse Pad -Rubber - 0920,EGP 125.00,EGP 125.00,0%,N/A
Redragon Keyboard Wired Valheim K608-R Brown Sw - Black,"EGP 1,543.97","EGP 1,929.96",20%,N/A
Redragon K550-1 RGB YAMA Mechanical Gaming Keyboard - Red Switches - Macros&Multimedia Keys -Black,"EGP 3,990.00","EGP 3,990.00",0%,N/A
Lenovo K200 LEGION BACKLIT Gaming Keyboard - Black,EGP 999.00,EGP 999.00,0%,N/A
Redragon K580 VATA RGB LED Backlit Mechanical Gaming Keyboard Macro Keys  (Blue Switches),"EGP 4,000.00","EGP 4,000.00",0%,N/A
Redragon K506 Rainbow Gaming Membrane Keyboard - Ar./ Eg - Black,EGP 999.00,EGP 999.00,0%,5 out of 5
Logitech K380 Multi-Device Bluetooth Keyboard,"EGP 2,199.00","EGP 2,499.00",12%,N/A
Aula Keyboard Gaming Wired Mechanical F2088 Sw Punk Aula - Red,"EGP 1,156.07","EGP 1,414.96",18%,N/A
"RGB  Handed Gaming Keyboard And Mouse Combo, USB  Keypad +A876","EGP 2,292.00","EGP 2,980.00",23%,N/A
Point BLUETOOTH WIRELESS KEYBOARD PT-800 POINT,EGP 465.00,EGP 465.00,0%,4 out of 5
"Havit KB510L Multi-Function Backlit Gaming Keyboard,Black,Arabic+English",EGP 520.00,EGP 520.00,0%,N/A
Video Game Keyboard And Mouse Converter +Zigor Special Bag,"EGP 1,911.00","EGP 1,911.00",0%,N/A
Gamdias HERMES M5A Full Gaming Mechanical Keyboard - BLUE Switch - Rainbow Backlight - EN Key,"EGP 1,099.00","EGP 1,350.00",19%,N/A
Manhattan Ultra Slim Dual-Mode Wireless Keyboard,EGP 799.00,EGP 959.00,17%,5 out of 5
Mini Keyboard Wireless With Touch Pad,EGP 266.00,EGP 650.00,59%,4.2 out of 5
Havit Multi-function Backlit Keyboard With Stand.Aribic+ English,EGP 460.00,EGP 460.00,0%,N/A
Unique Skull Mouse Pad For Laptop And Computer,EGP 99.99,EGP 129.99,23%,N/A
"Redragon WIB BES USB Keyboard,K611-P1B - Pink&White","EGP 2,189.00","EGP 2,999.00",27%,N/A
Point Wired Keyboard  PT-504,EGP 260.00,EGP 260.00,0%,5 out of 5
Keyboard Tablet PU Case For Xiaomi Redmi Pad SE 11 inch,"EGP 1,223.10","EGP 1,747.44",30%,N/A
T-Dagger T-TGK313 Mechanical Ice Blue LED Gaming Keyboard - Blue Switch - AR/Eg - Black,EGP 950.00,"EGP 1,200.00",21%,4.3 out of 5
GEEKRIA Replacement Keyboard Case Compatible With Logitech MX Keys Advanced Wireless Illuminated Keyboard,EGP 639.90,EGP 721.98,11%,N/A
Positive Quotes Mouse Pad -Rubber - 0907,EGP 125.00,EGP 125.00,0%,N/A
"Havit HV-KB256 Multimedia Keyboard,Black.(aribic+english)",EGP 175.00,EGP 175.00,0%,4.3 out of 5
Funny Quotes Mouse Pad -Rubber - 0907,EGP 125.00,EGP 125.00,0%,N/A
Logitech G413 Carbon Mechanical Gaming Keyboard - Black,"EGP 4,199.00","EGP 4,999.00",16%,N/A
Manhattan Ultra Slim Dual-Mode Wireless Keyboard - 180566,EGP 799.00,EGP 959.00,17%,5 out of 5
Mechanical Gaming Keyboard Switches Replaceable Spare Purple Switches,EGP 292.54,EGP 292.54,0%,N/A
Mechanical Keyboard USB Wired Gaming Keyboard,"EGP 4,820.00","EGP 8,676.00",44%,N/A
Redragon K502 RGB Gaming Silent Keyboard - 104 Key,"EGP 1,275.00","EGP 1,750.00",27%,4.5 out of 5
Genius GX Manticore Gaming Keyboard - Black,"EGP 1,299.00","EGP 1,299.00",0%,N/A
Redragon K568 Rainbow - Red Switch - TKL Mechanical Gaming Keyboard - 87 Keys,"EGP 1,450.00","EGP 1,750.00",17%,N/A
Keyboard A7 Bluetooth Keyboard Case For Samsung Galaxy Tab A9,"EGP 2,104.44","EGP 3,006.75",30%,N/A
